방면명,date,직진,좌회전,우회전,합계,빨간날
교대→연산교차로,2023.5.1 00:00,126,0,138,264,0
부산시청→연산교차로,2023.5.1 00:00,241,160,101,502,0
사직운동장→연산교차로,2023.5.1 00:00,65,202,49,316,0
신리→연산교차로,2023.5.1 00:00,162,98,15,275,0
안락→연산교차로,2023.5.1 00:00,216,0,45,261,0
연산터널→연산교차로,2023.5.1 00:00,98,137,31,266,0
교대→연산교차로,2023.5.1 01:00,104,0,112,216,0
부산시청→연산교차로,2023.5.1 01:00,202,135,81,418,0
사직운동장→연산교차로,2023.5.1 01:00,57,156,55,268,0
신리→연산교차로,2023.5.1 01:00,125,65,18,208,0
안락→연산교차로,2023.5.1 01:00,180,0,34,214,0
연산터널→연산교차로,2023.5.1 01:00,88,131,35,254,0
교대→연산교차로,2023.5.1 02:00,77,0,100,177,0
부산시청→연산교차로,2023.5.1 02:00,190,110,67,367,0
사직운동장→연산교차로,2023.5.1 02:00,41,126,47,214,0
신리→연산교차로,2023.5.1 02:00,107,66,10,183,0
안락→연산교차로,2023.5.1 02:00,148,0,33,181,0
연산터널→연산교차로,2023.5.1 02:00,93,114,25,232,0
교대→연산교차로,2023.5.1 03:00,63,0,90,153,0
부산시청→연산교차로,2023.5.1 03:00,167,87,51,305,0
사직운동장→연산교차로,2023.5.1 03:00,29,112,42,183,0
신리→연산교차로,2023.5.1 03:00,77,55,7,139,0
안락→연산교차로,2023.5.1 03:00,132,0,32,164,0
연산터널→연산교차로,2023.5.1 03:00,83,100,19,202,0
교대→연산교차로,2023.5.1 04:00,57,0,62,119,0
부산시청→연산교차로,2023.5.1 04:00,179,70,47,296,0
사직운동장→연산교차로,2023.5.1 04:00,34,90,33,157,0
신리→연산교차로,2023.5.1 04:00,85,47,8,140,0
안락→연산교차로,2023.5.1 04:00,174,0,27,201,0
연산터널→연산교차로,2023.5.1 04:00,70,85,29,184,0
교대→연산교차로,2023.5.1 05:00,70,0,107,177,0
부산시청→연산교차로,2023.5.1 05:00,187,110,52,349,0
사직운동장→연산교차로,2023.5.1 05:00,50,115,30,195,0
신리→연산교차로,2023.5.1 05:00,136,65,8,209,0
안락→연산교차로,2023.5.1 05:00,236,0,46,282,0
연산터널→연산교차로,2023.5.1 05:00,83,98,29,210,0
교대→연산교차로,2023.5.1 06:00,136,0,187,323,0
부산시청→연산교차로,2023.5.1 06:00,314,201,91,606,0
사직운동장→연산교차로,2023.5.1 06:00,66,221,37,324,0
신리→연산교차로,2023.5.1 06:00,258,104,16,378,0
안락→연산교차로,2023.5.1 06:00,349,0,59,408,0
연산터널→연산교차로,2023.5.1 06:00,165,186,30,381,0
교대→연산교차로,2023.5.1 07:00,198,0,335,533,0
부산시청→연산교차로,2023.5.1 07:00,396,264,191,851,0
사직운동장→연산교차로,2023.5.1 07:00,156,344,50,550,0
신리→연산교차로,2023.5.1 07:00,349,178,35,562,0
안락→연산교차로,2023.5.1 07:00,475,0,82,557,0
연산터널→연산교차로,2023.5.1 07:00,195,244,30,469,0
교대→연산교차로,2023.5.1 08:00,238,0,371,609,0
부산시청→연산교차로,2023.5.1 08:00,451,317,251,1019,0
사직운동장→연산교차로,2023.5.1 08:00,172,464,36,672,0
신리→연산교차로,2023.5.1 08:00,414,237,53,704,0
안락→연산교차로,2023.5.1 08:00,534,0,79,613,0
연산터널→연산교차로,2023.5.1 08:00,256,317,32,605,0
교대→연산교차로,2023.5.1 09:00,253,0,417,670,0
부산시청→연산교차로,2023.5.1 09:00,513,357,246,1116,0
사직운동장→연산교차로,2023.5.1 09:00,191,507,58,756,0
신리→연산교차로,2023.5.1 09:00,452,250,63,765,0
안락→연산교차로,2023.5.1 09:00,527,0,102,629,0
연산터널→연산교차로,2023.5.1 09:00,254,330,50,634,0
교대→연산교차로,2023.5.1 10:00,292,0,435,727,0
부산시청→연산교차로,2023.5.1 10:00,564,385,238,1187,0
사직운동장→연산교차로,2023.5.1 10:00,221,578,68,867,0
신리→연산교차로,2023.5.1 10:00,465,235,45,745,0
안락→연산교차로,2023.5.1 10:00,537,0,130,667,0
연산터널→연산교차로,2023.5.1 10:00,287,344,49,680,0
교대→연산교차로,2023.5.1 11:00,287,0,395,682,0
부산시청→연산교차로,2023.5.1 11:00,626,392,261,1279,0
사직운동장→연산교차로,2023.5.1 11:00,214,580,63,857,0
신리→연산교차로,2023.5.1 11:00,488,261,69,818,0
안락→연산교차로,2023.5.1 11:00,544,0,143,687,0
연산터널→연산교차로,2023.5.1 11:00,272,294,60,626,0
교대→연산교차로,2023.5.1 12:00,293,0,426,719,0
부산시청→연산교차로,2023.5.1 12:00,601,394,236,1231,0
사직운동장→연산교차로,2023.5.1 12:00,209,585,50,844,0
신리→연산교차로,2023.5.1 12:00,482,230,60,772,0
안락→연산교차로,2023.5.1 12:00,530,0,122,652,0
연산터널→연산교차로,2023.5.1 12:00,300,337,42,679,0
교대→연산교차로,2023.5.1 13:00,336,0,453,789,0
부산시청→연산교차로,2023.5.1 13:00,613,479,274,1366,0
사직운동장→연산교차로,2023.5.1 13:00,266,558,32,856,0
신리→연산교차로,2023.5.1 13:00,442,278,58,778,0
안락→연산교차로,2023.5.1 13:00,435,0,123,558,0
연산터널→연산교차로,2023.5.1 13:00,218,296,22,536,0
교대→연산교차로,2023.5.1 14:00,364,0,497,861,0
부산시청→연산교차로,2023.5.1 14:00,609,496,273,1378,0
사직운동장→연산교차로,2023.5.1 14:00,228,575,54,857,0
신리→연산교차로,2023.5.1 14:00,509,218,54,781,0
안락→연산교차로,2023.5.1 14:00,438,0,101,539,0
연산터널→연산교차로,2023.5.1 14:00,222,293,46,561,0
교대→연산교차로,2023.5.1 15:00,358,0,511,869,0
