--- final analysis results (Total 10 files) ---

item: average a0_speed     | file count: 10   | mean:    28.64 | std dev (n-1):     0.82
item: average a1_speed     | file count: 10   | mean:    32.93 | std dev (n-1):     1.16
item: average a2_speed     | file count: 10   | mean:    27.29 | std dev (n-1):     0.96
item: average a3_speed     | file count: 10   | mean:    33.95 | std dev (n-1):     1.20
item: average a4_speed     | file count: 10   | mean:    30.60 | std dev (n-1):     1.02
item: average a5_speed     | file count: 10   | mean:    21.60 | std dev (n-1):     0.47
item: Q0_vph               | file count: 10   | mean:    57.60 | std dev (n-1):     8.55
item: Q1_vph               | file count: 10   | mean:   112.60 | std dev (n-1):     9.40
item: Q2_vph               | file count: 10   | mean:   132.00 | std dev (n-1):    13.91
item: Q3_vph               | file count: 10   | mean:    71.10 | std dev (n-1):     8.57
item: Q4_vph               | file count: 10   | mean:    34.20 | std dev (n-1):     6.23
item: Q5_vph               | file count: 10   | mean:    41.70 | std dev (n-1):     8.71
item: Q6_vph               | file count: 10   | mean:   128.80 | std dev (n-1):     8.22
item: Q7_vph               | file count: 10   | mean:    11.00 | std dev (n-1):     3.89
item: Q8_vph               | file count: 10   | mean:    86.30 | std dev (n-1):    11.99
item: Q9_vph               | file count: 10   | mean:    32.80 | std dev (n-1):     5.35
item: Q10_vph              | file count: 10   | mean:     5.70 | std dev (n-1):     2.98
item: Q11_vph              | file count: 10   | mean:   105.60 | std dev (n-1):     8.86
item: Q12_vph              | file count: 10   | mean:    23.60 | std dev (n-1):     4.27
item: Q13_vph              | file count: 10   | mean:    79.30 | std dev (n-1):     5.33
item: Q14_vph              | file count: 10   | mean:    81.70 | std dev (n-1):    11.68
item: Q15_vph              | file count: 10   | mean:    29.10 | std dev (n-1):     4.09
